c s2M s2V K N T kf km
0.1 0.1 0.04 100.0 1000 500 0.4777 0.1049
0.1 0.1 0.04 100.0 1000 1000 0.4854 0.0868
0.1 0.1 0.04 100.0 1000 1500 0.4839 0.0671
0.1 0.1 0.04 100.0 1000 2000 0.4901 0.0438
0.1 0.1 0.04 100.0 1000 2500 0.47 0.0286
0.1 0.1 0.04 100.0 1000 3000 0.494 0.0086
0.1 0.1 0.04 100.0 1000 3500 0.4853 0.0039
0.1 0.1 0.04 100.0 1000 4000 0.4908 0.0065
0.1 0.1 0.04 100.0 1000 4500 0.4891 0.0051
0.1 0.1 0.04 100.0 1000 5000 0.4989 0.001
0.1 0.1 0.04 100.0 1000 5500 0.4986 0.002
0.1 0.1 0.04 100.0 1000 6000 0.4991 0.0001
0.1 0.1 0.04 100.0 1000 6500 0.4997 0.0002
0.1 0.1 0.04 100.0 1000 7000 0.4995 0.001
0.1 0.1 0.04 100.0 1000 7500 0.4997 0.0002
0.1 0.1 0.04 100.0 1000 8000 0.4999 0.0003
0.1 0.1 0.04 100.0 1000 8500 0.4998 0.0003
0.1 0.1 0.04 100.0 1000 9000 0.4998 0.0003
0.1 0.1 0.04 100.0 1000 9500 0.4993 0.0001
0.1 0.1 0.04 100.0 1000 10000 0.4999 0.0001
0.1 0.1 0.04 100.0 1000 500 0.4902 0.1087
0.1 0.1 0.04 100.0 1000 1000 0.4921 0.0213
0.1 0.1 0.04 100.0 1000 1500 0.4921 0.0168
0.1 0.1 0.04 100.0 1000 2000 0.4969 0.0023
0.1 0.1 0.04 100.0 1000 2500 0.4962 0.0013
0.1 0.1 0.04 100.0 1000 3000 0.4996 0.0026
0.1 0.1 0.04 100.0 1000 3500 0.4997 0.0101
0.1 0.1 0.04 100.0 1000 4000 0.4999 0.0108
0.1 0.1 0.04 100.0 1000 4500 0.4993 0.0096
0.1 0.1 0.04 100.0 1000 5000 0.4992 0.012
0.1 0.1 0.04 100.0 1000 5500 0.4992 0.0009
0.1 0.1 0.04 100.0 1000 6000 0.4998 0.0003
0.1 0.1 0.04 100.0 1000 6500 0.4996 0.0013
0.1 0.1 0.04 100.0 1000 7000 0.4998 0.0011
0.1 0.1 0.04 100.0 1000 7500 0.4992 0.0006
0.1 0.1 0.04 100.0 1000 8000 0.4991 0.0003
0.1 0.1 0.04 100.0 1000 8500 0.4969 0.0002
0.1 0.1 0.04 100.0 1000 9000 0.4996 0.0022
0.1 0.1 0.04 100.0 1000 9500 0.4993 0.0075
0.1 0.1 0.04 100.0 1000 10000 0.4996 0.038
0.1 0.1 0.04 100.0 1000 500 0.4648 0.1133
0.1 0.1 0.04 100.0 1000 1000 0.4685 0.0425
0.1 0.1 0.04 100.0 1000 1500 0.4732 0.0021
0.1 0.1 0.04 100.0 1000 2000 0.4875 0.0092
0.1 0.1 0.04 100.0 1000 2500 0.4835 0.0312
0.1 0.1 0.04 100.0 1000 3000 0.493 0.0354
0.1 0.1 0.04 100.0 1000 3500 0.4969 0.009
0.1 0.1 0.04 100.0 1000 4000 0.495 0.0049
0.1 0.1 0.04 100.0 1000 4500 0.4979 0.0099
0.1 0.1 0.04 100.0 1000 5000 0.4996 0.0218
0.1 0.1 0.04 100.0 1000 5500 0.4996 0.0069
0.1 0.1 0.04 100.0 1000 6000 0.4998 0.0025
0.1 0.1 0.04 100.0 1000 6500 0.5 0.0097
0.1 0.1 0.04 100.0 1000 7000 0.5 0.0034
0.1 0.1 0.04 100.0 1000 7500 0.5 0.0
0.1 0.1 0.04 100.0 1000 8000 0.5 0.0001
0.1 0.1 0.04 100.0 1000 8500 0.5 0.0002
0.1 0.1 0.04 100.0 1000 9000 0.4999 0.0
0.1 0.1 0.04 100.0 1000 9500 0.4999 0.0
0.1 0.1 0.04 100.0 1000 10000 0.5 0.0
0.1 0.1 0.04 100.0 1000 500 0.4531 0.166
0.1 0.1 0.04 100.0 1000 1000 0.4915 0.0975
0.1 0.1 0.04 100.0 1000 1500 0.4937 0.0602
0.1 0.1 0.04 100.0 1000 2000 0.4903 0.009
0.1 0.1 0.04 100.0 1000 2500 0.4961 0.0017
0.1 0.1 0.04 100.0 1000 3000 0.4979 0.0004
0.1 0.1 0.04 100.0 1000 3500 0.4988 0.0005
0.1 0.1 0.04 100.0 1000 4000 0.4997 0.0005
0.1 0.1 0.04 100.0 1000 4500 0.4993 0.0003
0.1 0.1 0.04 100.0 1000 5000 0.4996 0.0003
0.1 0.1 0.04 100.0 1000 5500 0.4997 0.0002
0.1 0.1 0.04 100.0 1000 6000 0.4992 0.0002
0.1 0.1 0.04 100.0 1000 6500 0.4996 0.0001
0.1 0.1 0.04 100.0 1000 7000 0.4998 0.0001
0.1 0.1 0.04 100.0 1000 7500 0.5 0.0003
0.1 0.1 0.04 100.0 1000 8000 0.5 0.0011
0.1 0.1 0.04 100.0 1000 8500 0.5 0.0022
0.1 0.1 0.04 100.0 1000 9000 0.5 0.0034
0.1 0.1 0.04 100.0 1000 9500 0.5 0.0096
0.1 0.1 0.04 100.0 1000 10000 0.5 0.0014
0.1 0.1 0.04 100.0 1000 500 0.4078 0.1958
0.1 0.1 0.04 100.0 1000 1000 0.4817 0.1428
0.1 0.1 0.04 100.0 1000 1500 0.4852 0.0229
0.1 0.1 0.04 100.0 1000 2000 0.4892 0.034
0.1 0.1 0.04 100.0 1000 2500 0.486 0.0203
0.1 0.1 0.04 100.0 1000 3000 0.4879 0.0109
0.1 0.1 0.04 100.0 1000 3500 0.4785 0.0086
0.1 0.1 0.04 100.0 1000 4000 0.4877 0.0039
0.1 0.1 0.04 100.0 1000 4500 0.4905 0.0013
0.1 0.1 0.04 100.0 1000 5000 0.4788 0.0006
0.1 0.1 0.04 100.0 1000 5500 0.4929 0.001
0.1 0.1 0.04 100.0 1000 6000 0.467 0.0001
0.1 0.1 0.04 100.0 1000 6500 0.4864 0.0001
0.1 0.1 0.04 100.0 1000 7000 0.497 0.0
0.1 0.1 0.04 100.0 1000 7500 0.498 0.0002
0.1 0.1 0.04 100.0 1000 8000 0.4978 0.0003
0.1 0.1 0.04 100.0 1000 8500 0.4961 0.0
0.1 0.1 0.04 100.0 1000 9000 0.4979 0.0
0.1 0.1 0.04 100.0 1000 9500 0.4992 0.0001
0.1 0.1 0.04 100.0 1000 10000 0.4997 0.0003
0.1 0.1 0.04 100.0 1000 500 0.2336 0.0714
0.1 0.1 0.04 100.0 1000 1000 0.4649 0.1017
0.1 0.1 0.04 100.0 1000 1500 0.4946 0.0578
0.1 0.1 0.04 100.0 1000 2000 0.4923 0.0704
0.1 0.1 0.04 100.0 1000 2500 0.4815 0.0133
0.1 0.1 0.04 100.0 1000 3000 0.4975 0.0041
0.1 0.1 0.04 100.0 1000 3500 0.4906 0.01
0.1 0.1 0.04 100.0 1000 4000 0.4979 0.0095
0.1 0.1 0.04 100.0 1000 4500 0.4999 0.0053
0.1 0.1 0.04 100.0 1000 5000 0.5 0.0059
0.1 0.1 0.04 100.0 1000 5500 0.5 0.0085
0.1 0.1 0.04 100.0 1000 6000 0.5 0.0067
0.1 0.1 0.04 100.0 1000 6500 0.5 0.0032
0.1 0.1 0.04 100.0 1000 7000 0.5 0.0016
0.1 0.1 0.04 100.0 1000 7500 0.5 0.0042
0.1 0.1 0.04 100.0 1000 8000 0.5 0.018
0.1 0.1 0.04 100.0 1000 8500 0.5 0.0149
0.1 0.1 0.04 100.0 1000 9000 0.5 0.0109
0.1 0.1 0.04 100.0 1000 9500 0.5 0.0049
0.1 0.1 0.04 100.0 1000 10000 0.5 0.0178
0.1 0.1 0.04 100.0 1000 500 0.4645 0.0954
0.1 0.1 0.04 100.0 1000 1000 0.4968 0.0272
0.1 0.1 0.04 100.0 1000 1500 0.4969 0.0507
0.1 0.1 0.04 100.0 1000 2000 0.489 0.0169
0.1 0.1 0.04 100.0 1000 2500 0.4751 0.0051
0.1 0.1 0.04 100.0 1000 3000 0.4968 0.0029
0.1 0.1 0.04 100.0 1000 3500 0.4945 0.0151
0.1 0.1 0.04 100.0 1000 4000 0.4979 0.0011
0.1 0.1 0.04 100.0 1000 4500 0.491 0.0002
0.1 0.1 0.04 100.0 1000 5000 0.4954 0.0001
0.1 0.1 0.04 100.0 1000 5500 0.4984 0.0001
0.1 0.1 0.04 100.0 1000 6000 0.4985 0.0019
0.1 0.1 0.04 100.0 1000 6500 0.4966 0.0011
0.1 0.1 0.04 100.0 1000 7000 0.4982 0.0004
0.1 0.1 0.04 100.0 1000 7500 0.4974 0.0005
0.1 0.1 0.04 100.0 1000 8000 0.4991 0.0005
0.1 0.1 0.04 100.0 1000 8500 0.4996 0.0017
0.1 0.1 0.04 100.0 1000 9000 0.4999 0.0004
0.1 0.1 0.04 100.0 1000 9500 0.4999 0.0006
0.1 0.1 0.04 100.0 1000 10000 0.5 0.0003
0.1 0.1 0.04 100.0 1000 500 0.4314 0.2253
0.1 0.1 0.04 100.0 1000 1000 0.4766 0.0237
0.1 0.1 0.04 100.0 1000 1500 0.4919 0.0358
0.1 0.1 0.04 100.0 1000 2000 0.4959 0.0043
0.1 0.1 0.04 100.0 1000 2500 0.4996 0.004
0.1 0.1 0.04 100.0 1000 3000 0.4997 0.0032
0.1 0.1 0.04 100.0 1000 3500 0.4991 0.0028
0.1 0.1 0.04 100.0 1000 4000 0.4998 0.0011
0.1 0.1 0.04 100.0 1000 4500 0.4996 0.0009
0.1 0.1 0.04 100.0 1000 5000 0.4994 0.0005
0.1 0.1 0.04 100.0 1000 5500 0.4998 0.001
0.1 0.1 0.04 100.0 1000 6000 0.4994 0.0083
0.1 0.1 0.04 100.0 1000 6500 0.4962 0.0115
0.1 0.1 0.04 100.0 1000 7000 0.4979 0.0016
0.1 0.1 0.04 100.0 1000 7500 0.4956 0.015
0.1 0.1 0.04 100.0 1000 8000 0.4945 0.028
0.1 0.1 0.04 100.0 1000 8500 0.4955 0.0294
0.1 0.1 0.04 100.0 1000 9000 0.4884 0.0074
0.1 0.1 0.04 100.0 1000 9500 0.4993 0.0079
0.1 0.1 0.04 100.0 1000 10000 0.4991 0.0019
0.1 0.1 0.04 100.0 1000 500 0.4429 0.0155
0.1 0.1 0.04 100.0 1000 1000 0.4841 0.0017
0.1 0.1 0.04 100.0 1000 1500 0.4908 0.0065
0.1 0.1 0.04 100.0 1000 2000 0.4963 0.0086
