c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4962 0.0077
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4968 0.0024
0.1 0.1 0.01 100 0 0.1 1000 6000 0.496 0.0019
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4858 0.0023
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4935 0.001
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4975 0.0012
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4983 0.0013
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4991 0.0013
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4975 0.0067
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4992 0.004
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4994 0.004
0.1 0.1 0.01 100 0 0.1 1000 500 0.3495 0.1561
0.1 0.1 0.01 100 0 0.1 1000 1000 0.3998 0.1207
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4578 0.0682
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4642 0.0242
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4896 0.0316
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4905 0.0174
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4938 0.0216
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4945 0.0213
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4952 0.0169
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4944 0.0166
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4934 0.0275
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4994 0.006
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4996 0.0028
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4997 0.0044
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4996 0.0026
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4995 0.0038
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4998 0.0025
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4998 0.0029
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4991 0.005
0.1 0.1 0.01 100 0 0.1 1000 10000 0.499 0.0024
0.1 0.1 0.01 100 0 0.1 1000 500 0.3562 0.1115
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4311 0.0754
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4639 0.0471
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4832 0.0437
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4832 0.0235
0.1 0.1 0.01 100 0 0.1 1000 3000 0.493 0.0434
0.1 0.1 0.01 100 0 0.1 1000 3500 0.493 0.0374
