c s2M s2V K N T kf km
0.1 0.1 0.01 100.0 1000 500 0.3178 0.2251
0.1 0.1 0.01 100.0 1000 1000 0.4434 0.248
0.1 0.1 0.01 100.0 1000 1500 0.4673 0.3123
0.1 0.1 0.01 100.0 1000 2000 0.4823 0.304
0.1 0.1 0.01 100.0 1000 2500 0.4757 0.3349
0.1 0.1 0.01 100.0 1000 3000 0.4735 0.3719
0.1 0.1 0.01 100.0 1000 3500 0.4881 0.3886
0.1 0.1 0.01 100.0 1000 4000 0.4953 0.3804
0.1 0.1 0.01 100.0 1000 4500 0.4966 0.3942
0.1 0.1 0.01 100.0 1000 5000 0.4956 0.4292
0.1 0.1 0.01 100.0 1000 5500 0.4984 0.3742
0.1 0.1 0.01 100.0 1000 6000 0.499 0.4597
0.1 0.1 0.01 100.0 1000 6500 0.4981 0.4651
0.1 0.1 0.01 100.0 1000 7000 0.4973 0.4891
0.1 0.1 0.01 100.0 1000 7500 0.4977 0.4821
0.1 0.1 0.01 100.0 1000 8000 0.4986 0.4871
0.1 0.1 0.01 100.0 1000 8500 0.4985 0.4704
0.1 0.1 0.01 100.0 1000 9000 0.4992 0.4844
0.1 0.1 0.01 100.0 1000 9500 0.4995 0.4894
0.1 0.1 0.01 100.0 1000 10000 0.499 0.4813
0.1 0.1 0.01 100.0 1000 500 0.4078 0.2776
0.1 0.1 0.01 100.0 1000 1000 0.4573 0.2472
0.1 0.1 0.01 100.0 1000 1500 0.4666 0.22
0.1 0.1 0.01 100.0 1000 2000 0.4717 0.1763
0.1 0.1 0.01 100.0 1000 2500 0.4815 0.1526
0.1 0.1 0.01 100.0 1000 3000 0.4891 0.1834
0.1 0.1 0.01 100.0 1000 3500 0.4927 0.1259
0.1 0.1 0.01 100.0 1000 4000 0.4858 0.0941
0.1 0.1 0.01 100.0 1000 4500 0.4862 0.1279
0.1 0.1 0.01 100.0 1000 5000 0.4864 0.1055
0.1 0.1 0.01 100.0 1000 5500 0.4839 0.175
0.1 0.1 0.01 100.0 1000 6000 0.4918 0.1411
0.1 0.1 0.01 100.0 1000 6500 0.4963 0.0729
0.1 0.1 0.01 100.0 1000 7000 0.4995 0.1477
0.1 0.1 0.01 100.0 1000 7500 0.4993 0.2264
0.1 0.1 0.01 100.0 1000 8000 0.4993 0.1775
0.1 0.1 0.01 100.0 1000 8500 0.4996 0.15
0.1 0.1 0.01 100.0 1000 9000 0.4998 0.1143
0.1 0.1 0.01 100.0 1000 9500 0.4998 0.0872
0.1 0.1 0.01 100.0 1000 10000 0.4998 0.0185
0.1 0.1 0.01 100.0 1000 500 0.4121 0.3627
0.1 0.1 0.01 100.0 1000 1000 0.4407 0.3935
0.1 0.1 0.01 100.0 1000 1500 0.4942 0.4249
0.1 0.1 0.01 100.0 1000 2000 0.4947 0.4108
0.1 0.1 0.01 100.0 1000 2500 0.4967 0.4235
0.1 0.1 0.01 100.0 1000 3000 0.4963 0.3328
0.1 0.1 0.01 100.0 1000 3500 0.4976 0.3211
0.1 0.1 0.01 100.0 1000 4000 0.4973 0.2377
0.1 0.1 0.01 100.0 1000 4500 0.4963 0.1167
0.1 0.1 0.01 100.0 1000 5000 0.4926 0.1372
0.1 0.1 0.01 100.0 1000 5500 0.4957 0.0865
0.1 0.1 0.01 100.0 1000 6000 0.4964 0.2271
0.1 0.1 0.01 100.0 1000 6500 0.4972 0.1796
0.1 0.1 0.01 100.0 1000 7000 0.4957 0.1809
0.1 0.1 0.01 100.0 1000 7500 0.4967 0.125
0.1 0.1 0.01 100.0 1000 8000 0.4978 0.0744
0.1 0.1 0.01 100.0 1000 8500 0.4991 0.052
0.1 0.1 0.01 100.0 1000 9000 0.4992 0.0542
0.1 0.1 0.01 100.0 1000 9500 0.4984 0.0472
0.1 0.1 0.01 100.0 1000 10000 0.4972 0.1013
0.1 0.1 0.01 100.0 1000 500 0.3836 0.2554
0.1 0.1 0.01 100.0 1000 1000 0.4417 0.3269
0.1 0.1 0.01 100.0 1000 1500 0.4753 0.3621
0.1 0.1 0.01 100.0 1000 2000 0.4899 0.2605
0.1 0.1 0.01 100.0 1000 2500 0.4886 0.2274
0.1 0.1 0.01 100.0 1000 3000 0.4904 0.2209
0.1 0.1 0.01 100.0 1000 3500 0.493 0.217
0.1 0.1 0.01 100.0 1000 4000 0.497 0.2456
0.1 0.1 0.01 100.0 1000 4500 0.4932 0.2539
0.1 0.1 0.01 100.0 1000 5000 0.4874 0.2144
0.1 0.1 0.01 100.0 1000 5500 0.4914 0.2215
0.1 0.1 0.01 100.0 1000 6000 0.4963 0.16
0.1 0.1 0.01 100.0 1000 6500 0.498 0.1127
0.1 0.1 0.01 100.0 1000 7000 0.4935 0.0989
0.1 0.1 0.01 100.0 1000 7500 0.4905 0.0745
0.1 0.1 0.01 100.0 1000 8000 0.4911 0.0463
0.1 0.1 0.01 100.0 1000 8500 0.4924 0.0565
0.1 0.1 0.01 100.0 1000 9000 0.4978 0.034
0.1 0.1 0.01 100.0 1000 9500 0.4989 0.0279
0.1 0.1 0.01 100.0 1000 10000 0.4984 0.0136
0.1 0.1 0.01 100.0 1000 500 0.4115 0.1576
0.1 0.1 0.01 100.0 1000 1000 0.4669 0.1235
0.1 0.1 0.01 100.0 1000 1500 0.4838 0.1621
0.1 0.1 0.01 100.0 1000 2000 0.4744 0.2623
0.1 0.1 0.01 100.0 1000 2500 0.4952 0.2613
0.1 0.1 0.01 100.0 1000 3000 0.4897 0.1693
0.1 0.1 0.01 100.0 1000 3500 0.4962 0.1223
