c s2M s2V K N T kf km
0.1 0.1 0.08 100.0 1000 500 0.4787 0.0202
0.1 0.1 0.08 100.0 1000 1000 0.4872 0.0212
0.1 0.1 0.08 100.0 1000 1500 0.4992 0.0162
0.1 0.1 0.08 100.0 1000 2000 0.4987 0.0258
0.1 0.1 0.08 100.0 1000 2500 0.4997 0.0137
0.1 0.1 0.08 100.0 1000 3000 0.4988 0.0009
0.1 0.1 0.08 100.0 1000 3500 0.4986 0.0001
0.1 0.1 0.08 100.0 1000 4000 0.4994 0.0
0.1 0.1 0.08 100.0 1000 4500 0.5 0.0
0.1 0.1 0.08 100.0 1000 5000 0.4998 0.0
0.1 0.1 0.08 100.0 1000 5500 0.4999 0.0004
0.1 0.1 0.08 100.0 1000 6000 0.5 0.0001
0.1 0.1 0.08 100.0 1000 6500 0.5 0.0002
0.1 0.1 0.08 100.0 1000 7000 0.5 0.0003
0.1 0.1 0.08 100.0 1000 7500 0.5 0.0001
0.1 0.1 0.08 100.0 1000 8000 0.5 0.0003
0.1 0.1 0.08 100.0 1000 8500 0.4999 0.0001
0.1 0.1 0.08 100.0 1000 9000 0.4997 0.0
0.1 0.1 0.08 100.0 1000 9500 0.4996 0.0
0.1 0.1 0.08 100.0 1000 10000 0.4999 0.0
0.1 0.1 0.08 100.0 1000 500 0.4617 0.0854
0.1 0.1 0.08 100.0 1000 1000 0.491 0.017
0.1 0.1 0.08 100.0 1000 1500 0.4932 0.0016
0.1 0.1 0.08 100.0 1000 2000 0.4894 0.0021
0.1 0.1 0.08 100.0 1000 2500 0.4996 0.0016
0.1 0.1 0.08 100.0 1000 3000 0.4986 0.0001
0.1 0.1 0.08 100.0 1000 3500 0.4939 0.0001
0.1 0.1 0.08 100.0 1000 4000 0.4979 0.0005
0.1 0.1 0.08 100.0 1000 4500 0.4906 0.0005
0.1 0.1 0.08 100.0 1000 5000 0.4908 0.0002
0.1 0.1 0.08 100.0 1000 5500 0.4549 0.0002
0.1 0.1 0.08 100.0 1000 6000 0.4852 0.0001
0.1 0.1 0.08 100.0 1000 6500 0.4978 0.0001
0.1 0.1 0.08 100.0 1000 7000 0.4891 0.0
0.1 0.1 0.08 100.0 1000 7500 0.4999 0.0
0.1 0.1 0.08 100.0 1000 8000 0.5 0.0
0.1 0.1 0.08 100.0 1000 8500 0.5 0.0
0.1 0.1 0.08 100.0 1000 9000 0.5 0.0
0.1 0.1 0.08 100.0 1000 9500 0.5 0.0
0.1 0.1 0.08 100.0 1000 10000 0.5 0.0
0.1 0.1 0.08 100.0 1000 500 0.4774 0.0481
0.1 0.1 0.08 100.0 1000 1000 0.4976 0.0163
0.1 0.1 0.08 100.0 1000 1500 0.4998 0.0011
0.1 0.1 0.08 100.0 1000 2000 0.4997 0.0014
0.1 0.1 0.08 100.0 1000 2500 0.4998 0.0023
0.1 0.1 0.08 100.0 1000 3000 0.4999 0.0038
0.1 0.1 0.08 100.0 1000 3500 0.5 0.0097
0.1 0.1 0.08 100.0 1000 4000 0.5 0.0018
0.1 0.1 0.08 100.0 1000 4500 0.5 0.0002
0.1 0.1 0.08 100.0 1000 5000 0.5 0.0003
0.1 0.1 0.08 100.0 1000 5500 0.5 0.0
0.1 0.1 0.08 100.0 1000 6000 0.5 0.0001
0.1 0.1 0.08 100.0 1000 6500 0.5 0.001
0.1 0.1 0.08 100.0 1000 7000 0.5 0.0025
0.1 0.1 0.08 100.0 1000 7500 0.5 0.1078
0.1 0.1 0.08 100.0 1000 8000 0.5 0.0103
0.1 0.1 0.08 100.0 1000 8500 0.5 0.0331
0.1 0.1 0.08 100.0 1000 9000 0.5 0.0224
0.1 0.1 0.08 100.0 1000 9500 0.5 0.0287
0.1 0.1 0.08 100.0 1000 10000 0.5 0.0247
0.1 0.1 0.08 100.0 1000 500 0.4761 0.1252
0.1 0.1 0.08 100.0 1000 1000 0.496 0.0129
0.1 0.1 0.08 100.0 1000 1500 0.4996 0.0174
0.1 0.1 0.08 100.0 1000 2000 0.4933 0.003
0.1 0.1 0.08 100.0 1000 2500 0.4998 0.0022
0.1 0.1 0.08 100.0 1000 3000 0.4993 0.0129
0.1 0.1 0.08 100.0 1000 3500 0.4995 0.0108
0.1 0.1 0.08 100.0 1000 4000 0.4981 0.001
0.1 0.1 0.08 100.0 1000 4500 0.4952 0.0003
0.1 0.1 0.08 100.0 1000 5000 0.4983 0.0002
0.1 0.1 0.08 100.0 1000 5500 0.4972 0.0011
0.1 0.1 0.08 100.0 1000 6000 0.4958 0.0005
0.1 0.1 0.08 100.0 1000 6500 0.4998 0.0
0.1 0.1 0.08 100.0 1000 7000 0.4997 0.0
0.1 0.1 0.08 100.0 1000 7500 0.4999 0.0
0.1 0.1 0.08 100.0 1000 8000 0.4998 0.0
0.1 0.1 0.08 100.0 1000 8500 0.5 0.0001
0.1 0.1 0.08 100.0 1000 9000 0.5 0.0
0.1 0.1 0.08 100.0 1000 9500 0.5 0.0
0.1 0.1 0.08 100.0 1000 10000 0.5 0.0001
0.1 0.1 0.08 100.0 1000 500 0.4893 0.0106
0.1 0.1 0.08 100.0 1000 1000 0.4962 0.0024
0.1 0.1 0.08 100.0 1000 1500 0.5 0.0044
0.1 0.1 0.08 100.0 1000 2000 0.5 0.0014
0.1 0.1 0.08 100.0 1000 2500 0.5 0.0005
0.1 0.1 0.08 100.0 1000 3000 0.5 0.0053
0.1 0.1 0.08 100.0 1000 3500 0.5 0.0085
0.1 0.1 0.08 100.0 1000 4000 0.5 0.0263
0.1 0.1 0.08 100.0 1000 4500 0.5 0.0044
0.1 0.1 0.08 100.0 1000 5000 0.5 0.0029
0.1 0.1 0.08 100.0 1000 5500 0.5 0.0001
0.1 0.1 0.08 100.0 1000 6000 0.5 0.0001
0.1 0.1 0.08 100.0 1000 6500 0.5 0.0
0.1 0.1 0.08 100.0 1000 7000 0.5 0.0
0.1 0.1 0.08 100.0 1000 7500 0.5 0.0
0.1 0.1 0.08 100.0 1000 8000 0.5 0.0006
0.1 0.1 0.08 100.0 1000 8500 0.5 0.0003
0.1 0.1 0.08 100.0 1000 9000 0.5 0.0
0.1 0.1 0.08 100.0 1000 9500 0.5 0.0
0.1 0.1 0.08 100.0 1000 10000 0.5 0.0001
0.1 0.1 0.08 100.0 1000 500 0.4408 0.171
0.1 0.1 0.08 100.0 1000 1000 0.4902 0.0283
0.1 0.1 0.08 100.0 1000 1500 0.498 0.0278
0.1 0.1 0.08 100.0 1000 2000 0.4938 0.0035
0.1 0.1 0.08 100.0 1000 2500 0.4906 0.0067
0.1 0.1 0.08 100.0 1000 3000 0.4995 0.0016
0.1 0.1 0.08 100.0 1000 3500 0.4991 0.0009
0.1 0.1 0.08 100.0 1000 4000 0.4995 0.0164
0.1 0.1 0.08 100.0 1000 4500 0.4996 0.0028
0.1 0.1 0.08 100.0 1000 5000 0.4999 0.0008
0.1 0.1 0.08 100.0 1000 5500 0.4999 0.0004
0.1 0.1 0.08 100.0 1000 6000 0.5 0.0076
0.1 0.1 0.08 100.0 1000 6500 0.5 0.0004
0.1 0.1 0.08 100.0 1000 7000 0.4983 0.0003
0.1 0.1 0.08 100.0 1000 7500 0.499 0.0003
0.1 0.1 0.08 100.0 1000 8000 0.4947 0.0009
0.1 0.1 0.08 100.0 1000 8500 0.4998 0.0036
0.1 0.1 0.08 100.0 1000 9000 0.4999 0.0021
0.1 0.1 0.08 100.0 1000 9500 0.4982 0.0005
0.1 0.1 0.08 100.0 1000 10000 0.4984 0.0006
0.1 0.1 0.08 100.0 1000 500 0.489 0.1689
0.1 0.1 0.08 100.0 1000 1000 0.4806 0.0632
0.1 0.1 0.08 100.0 1000 1500 0.4959 0.0113
0.1 0.1 0.08 100.0 1000 2000 0.4999 0.0143
0.1 0.1 0.08 100.0 1000 2500 0.4995 0.0319
0.1 0.1 0.08 100.0 1000 3000 0.4993 0.027
0.1 0.1 0.08 100.0 1000 3500 0.5 0.0089
0.1 0.1 0.08 100.0 1000 4000 0.5 0.0007
0.1 0.1 0.08 100.0 1000 4500 0.4998 0.0033
0.1 0.1 0.08 100.0 1000 5000 0.5 0.0061
0.1 0.1 0.08 100.0 1000 5500 0.5 0.0084
0.1 0.1 0.08 100.0 1000 6000 0.4999 0.0077
0.1 0.1 0.08 100.0 1000 6500 0.5 0.0
